noteID,note
57,Ice internal pressure or stress (Pa m) is the integrated pressure across the vertical thickness of a layer of ice. It is produced when concentrated ice reacts to external forces such as wind and ocean currents.
58,"If any of bits 5, 6, 7 or 8 are set, Di and Dj are not optional."
59,"If bit number 4 is set, the first row scan is as defined by previous flags."
60,"In astronomy, sky transparency means the effect on the viewing experience caused by the scattering of light through atmospheric water vapour, aerosols or other constituents. Ideal transparency conditions produce a black night sky conducive to viewing faint astronomical objects, almost like being in outer space. In poor transparency conditions, which may occur even in cloud-free conditions, the deep sky background is greyish (not black), faint details are washed out and contrast is reduced."
61,Initialized analysis increment represents initialized analysis minus analysis
62,It is recommended to use parameter 148.
63,"It should be noted that the reference for ""minimum of all ensemble members"" and ""maximum of all ensemble members"" is the set of ensemble members and not a time interval and should not be confused with the maximum and minimum described by PDT 4.8."
65,"j direction: south to north along a meridian, or bottom to top along a y-axis."
66,"La1 and Lo1 define the first row, which is an odd row."
67,"Large anomaly index is defined as {(number of members whose anomaly is higher than 0.5 x SD) - (number of members whose anomaly is lower than -0.5 x SD)} /(number of members) at each grid point, where SD is defined as observed climatological standard deviation."
68,"Negative values associated to this coordinate will indicate depth below ground surface. If values are all below surface, use of entry 106 is recommended, with positive coordinate values instead."
69,Normal flux is on a surface lifted to be normal to sun rays.
70,Numbers 31 to 40 are deprecated.
71,Parameters from 10 onward may be used in combination with product definition templates 4.40-4.43 and Common Code table C-14 (Code table 4.230) to represent any type of radioisotope.
72,Performs a budget interpolation at the grid point nearest to the nominal grid point.
73,"Remotely sensed snow cover is expressed as a field of dimensionless, thematic values. The currently accepted values are for no-snow/no-cloud, 50, for clouds, 100, and for snow, 250 (see Code table 4.215)."
74,"Seeing means the steadiness or turbulence of the atmosphere in the context of astronomical observation. Turbulence causes rapid random fluctuations of the optical path through the atmosphere. The twinkling of stars, for example, occurs in poor seeing conditions."
75,"Sigma height level is the vertical model level of the height-based terrain-following coordinate (Gal-Chen and Somerville, 1975). The value of the level = (height of the level - height of the terrain) / (height of the top level - height of the terrain), which is greater than or equal to 0 and less than or equal to 1."
76,Snow evaporation is the accumulated amount of water that has evaporated from snow from within the snow covered area of a grid-box.
77,"Snow water equivalent per cent of normal is stored in per cent of normal units. For example,a value of 110 indicates 110 per cent of the normal snow water equivalent for a given depth of snow."
78,Supercooled large droplets (SLD) are defined as those with a diameter greater than 50 microns.
79,Surface roughness for heat is a measure of the surface resistance to heat transfer.
80,Surface roughness for moisture is a measure of the surface resistance to moisture transfer.
81,Temperature at the base of the thermal skin layer.
82,Temperature of the water across a very small depth (approximately the upper 20 micrometers).
83,Temperature of the water column free of diurnal temperature variability or equal to the ST sub-skin in the absence of any diurnal signal.
84,"The definition of a generalized vertical height coordinate implies the absence of coordinate values in Section 4 but the presence of an external 3D-GRIB message that specifies the height of every model grid point in metres (see Notes to Section 4 in the section above entitled Specification of Octet Contents), i.e., this GRIB message will contain the field with discipline = 0, category = 3, parameter = 6 (Geometric height)."
85,The Eta vertical coordinate system involves normalizing the pressure at some point on a specific level by the mean sea-level pressure at that point.
87,"The Fosberg index denotes the potential influence of weather on a wildland fire. It takes into account the combined effects of temperature, wind speed, relative humidity and precipitation. Higher values indicate a higher potential impact."
90,"The listed units for this parameter appear not to be appropriate for evapotranspiration. Instead, it is recommended to use parameter 39 with statistical process 1 (accumulation) in order to report evapotranspiration in units of kg m-2."
91,"The listed units for this parameter appear to be inappropriate for the potential evaporation rate. Instead, it is recommended to use parameter 143."
92,"The original data value (Y in the note 4 of Regulation 92.9.4) has units of Code table 4.2 multiplied by second, unless otherwise noted on Code table 4.2."
93,The original data value has squared units of Code table 4.2.
94,"The original data value is a non-dimensional number from 0 to 1, where 0 indicates no confidence and 1 indicates maximal confidence."
95,The original data value is a non-dimensional number without units.
96,The original data value is defined by Code table 4.244
97,The original data value is non-dimensional number without units.
98,"The ratio of the radiant flux reflected by a surface to that reflected into the same reflected-beam geometry and wavelength range by an ideal (lossless) and diffuse(Lambertian) standard surface, irradiated under the same conditions."
99,"The sea-ice level represents a sea-ice model level for which the depth is not constant across the model domains. The depth in metres of the level is provided by another GRIB message with the parameter “sea-ice thickness” with discipline 10, category 2 and parameter number 1."
100,"The soil level represents a model level for which the depth is not constant across the model domain. The depth in metres of the level is provided by another GRIB message with the parameter ""soil depth"" with discipline 2, category 3 and parameter number 27."
101,The solar flux per unit area received from a solid angle of 2π sr on a horizontal surface.
102,"The solar flux per unit area received from a solid angle of 2π sr, except for the solid angle of the sun's disc, on a horizontal surface."
103,The solar flux per unit area received from the solid angle of the sun's disc on a surface normal to the sun direction.
104,"The total lightning flash density is the sum of cloud-to-ground and cloud-to-cloud lightning flash densities (see Lopez, P., 2016: A lightning parameterization for the ECMWF Integrated Forecasting System, Monthly Weather Review, 144, 3057-3075)."
105,The value for the constant direction increment Di (or Dx) in the accompanying grid definition template should be set to all ones (missing).
106,Theoretical temperature at the precise air-sea interface.
107,"This category is no longer populated. Please use ""Product discipline 0 -  Meteorological products, parameter category 20: atmospheric chemical constituents""."
108,This code table is deprecated. See Common Code table C-0 instead.
109,This method assumes that each field really represents box averages/maxima/minima where each box extends halfway to its neighboring grid point in each direction to represent averages/maxima/minima of values from the source grid with no interpolation.
110,"This parameter is described in more detail by (a) Lee, S. and I.M. Held, 1993: Baroclinic wave packets in models and observations. J. Atmos. Sci., 50:1413-1428, (b) Chang, E.K.M., 1993: Downstream development of baroclinic waves as inferred from regression analysis. J. Atmos. Sci., 50:2038-2053, (c) Archambault, H.M., D. Keyser and L.F. Bosart, 2010: Relationships between large-scale regime transitions and major cool-season precipitation events in the northeastern United States. Mon Wea. Review, 138:3454-3473, and(d) Zimin, A.V., I. Szunyogh, B.R. Hung and E. Orr, 2006: Extracting envelopes of non-zonally propagating Rossby wave packets. Mon. Wea. Review, 134:1329-1333."
111,Time integral of diffuse solar irradiance.
112,Time integral of direct solar irradiance.
113,Time integral of global solar irradiance.
114,"Top of atmosphere radiance observed by a sensor, multiplied by pi and divided by the in-band solar irradiance."
115,"Total solid precipitation includes the sum of all types of solid water, e.g. graupel, snow and hail."
116,"Values of N(m) for common truncation cases: Triangular: M = J = K, N(m) = J Rhomboidal: K = J + M, N(m) = J + m Trapezoidal: K = J, K > M, N(m) = J"
117,WGS-84 is a geodetic system that uses IAG-GRS80 as a basis.
118,"When a new category is to be added to Code table 4.1 and more than one discipline applies, the choice of discipline should be made based on the intended use of the product."
119,"When a new parameter is to be added to Code table 4.2 and more than one category applies, the choice of category should be made based on the intended use of the product. The discipline and category are an important part of any product definition, so it is possible to have the same parameter name in more than one category. For example, ""water temperature"" in discipline 10 (oceanographic products), category 4 (subsurface properties) is used for reporting water temperature in the ocean or open sea, and is not the same as ""water temperature"" in discipline 1 (hydrological products), category 2 (inland water and sediment properties), which is used for reporting water temperature in freshwater lakes and rivers."
120,"When a non-missing value is used from this code table, the original data value is a quality value associated with the parameter defined by octets 10 and 11 of the product definition template."
121,"With respect to code figures 0, 1, 3, 6 and 7, coordinates can only be unambiguously interpreted, if the coordinate reference system in which they are embedded is known. Therefore, defining the shape of the Earth alone without coordinate system axis origins is ambiguous. Generally, the prime meridian defined in the geodetic system WGS-84 can be safely assumed to be the longitudinal origin. However, because these code figures do not specify the longitudinal origin explicitly, it is suggested to contact the originating centre if high precision coordinates are needed, in order to obtain the precise details of the coordinate system used (effective as from 16 November 2016)."
122,<<note has images of formulas>>
123,"The lightning potential index (LPI, Number 1), as defined by Lynn et al. 2010, is derived from grid scale (resolved) model information in convection permitting models. In contrast, the subgrid-scale lightning potential index is derived from subgrid-scale information (from parameterized convection) for models with coarser resolution."
124,"Number 33 (Geometric altitude above mean sea level) or number 34 (Geometric height above ground level) should be used instead of number 6 (Geometric height), because it does not indicate whether this is referring to height above mean sea level or height above ground."
125,"A C4 plant is a type of plant that uses a specific photosynthesis mechanism (C4 photosynthesis) in order to avoid photorespiration. Other types of plants are C3 and CAM."
126,"Total (atmospheric) energy is the sum of internal energy, potential energy, kinetic energy and latent heat. Same applies to energy fluxes."
127,"The water enthalpy (flux) is the enthalpy (flux) associated with the temperature of the water mass."
128,"The water potential energy flux is the flux of potential energy associated with the water mass."
129,"The net source is the sum of all the atmospheric (chemical) processes creating and destroying chemical constituents or aerosols in the column."
130,"This parameter can be used with templates for chemical constituents to specify a chemical species if needed, for instance: Net ecosystem CO2 exchange flux or Net ecosystem CH4 exchange flux."
131,"This parameter is the amount of sunshine in seconds over a given length of time in seconds. Sunshine is defined as a radiation intensity above 120 W m-2."
132,"A duct layer is an atmospheric layer with a refractivity which leads to a trapping of electromagnetic waves. In a trapping layer the refractivity leads to a bending of EM waves, which is stronger than the Earth's curvature."
133,"The Charnock parameter accounts for increased aerodynamic roughness as wave heights grow due to increasing surface stress. It depends on the wind speed, wave age and other aspects of the sea state and is used to calculate how much the waves slow down the wind."
134,"Parameters are normalised by being divided by the product of air density and the square of the friction velocity."
135,"No additional parameter needed, NA in templates 4.105, 4.106 and 4.107 should be set to 0."
136,"Confidence interval for the significance test is needed (NA=1)."
137,"EFI is defined in https://doi.org/10.1256/qj.02.152. No additional parameter needed (NA=0)."
138,"SOT is defined in https://doi.org/10.1256/qj.02.152. Lower and upper quantile used for the SOT need to be defined (NA=2) in this order: start of the tail (10 or 90 usually) then end of tail (1 or 99 respectively)."
139,"This table is divided into blocks of 1000 entries: 1-1000, 1001-2000, 2001-3000, etc. Each block corresponds to a specific land cover survey listed in Code table 4.242 and is subsequently divided into 2 ranges of 500 entries (apart for the first 1000 entries which are designed to be generic and not bound to a specific land cover survey). The first 500 entries are reserved for native classification types of the given survey while the remaining 500 are using for groupings of native classification types."
140,"Parameters 37 and 38 are deprecated. It is recommended to use 63 and 64 instead."
141,"See Appendix XYZ."
142,"In the ring ordering scheme, the 12 rhomboids are not considered and the scanning mode applies to the grid in its entirety."
143,"In the nested ordering scheme, the 12 rhomboids are scanned in order defined in Gorsky et al. 2015. The flag bits then refer to how the points are scanned within a rhomboid."
144,"This is the Julian day of the year that surface melt begins."
145,"This is the Julian day of the year that surface freeze begins."
